年度,球団,左右,選手名,試合数,打席数,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打
2016,東京ヤクルト,右,秋吉　亮,70,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2016,東京ヤクルト,右,新垣　渚,6,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2016,東京ヤクルト,右,荒木　貴裕,61,131,111,14,27,5,1,1,37,9,2,1,9,0,9,0,2,20,5
2016,東京ヤクルト,右,飯原　誉士,63,77,67,11,15,3,0,3,27,9,0,0,1,0,8,0,1,19,2
2016,東京ヤクルト,左,石川　雅規,20,39,34,0,1,0,0,0,1,0,0,0,4,0,1,0,0,12,1
2016,東京ヤクルト,右,石山　泰稚,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,東京ヤクルト,右,井野　卓,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,東京ヤクルト,左,今浪　隆博,94,240,201,22,56,9,3,1,74,28,0,1,3,4,30,0,2,25,3
2016,東京ヤクルト,左,岩橋　慶侍,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,東京ヤクルト,左,上田　剛史,72,92,82,12,18,2,1,1,25,10,5,3,1,2,4,0,3,13,1
2016,東京ヤクルト,右,鵜久森　淳志,46,146,136,7,35,4,1,4,53,19,0,0,1,0,9,0,0,22,4
2016,東京ヤクルト,右,オンドルセク,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,東京ヤクルト,右,大引　啓次,100,391,348,48,87,16,1,5,120,27,7,5,2,1,40,0,0,82,5
2016,東京ヤクルト,右,小川　泰弘,25,54,50,4,4,1,0,1,8,3,0,0,4,0,0,0,0,26,0
2016,東京ヤクルト,左,奥村　展征,4,8,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1
2016,東京ヤクルト,右,風張　蓮,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,東京ヤクルト,左,川端　慎吾,103,458,420,48,127,22,1,1,154,32,3,0,1,2,34,0,1,31,13
2016,東京ヤクルト,右,木谷　良平,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,東京ヤクルト,左,久古　健太郎,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,東京ヤクルト,右,近藤　一樹,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,東京ヤクルト,左,坂口　智隆,141,607,526,74,155,14,5,0,179,39,7,4,5,5,63,0,8,66,5
2016,東京ヤクルト,右,ジェフン,17,42,40,3,9,2,0,0,11,2,0,1,0,0,2,0,0,12,0
2016,東京ヤクルト,右,杉浦　稔大,17,16,11,1,1,0,0,0,1,0,0,0,5,0,0,0,0,7,1
2016,東京ヤクルト,左,武内　晋一,25,24,20,3,5,0,0,0,5,2,0,0,0,0,4,0,0,5,1
2016,東京ヤクルト,左,竹下　真吾,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,東京ヤクルト,右,館山　昌平,10,14,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0
2016,東京ヤクルト,右,田中　浩康,31,37,32,2,6,2,0,0,8,1,0,0,0,0,4,0,1,3,0
2016,東京ヤクルト,右,デイビーズ,15,24,20,0,2,0,0,0,2,0,0,0,3,0,1,0,0,12,0
2016,東京ヤクルト,右,寺田　哲也,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,東京ヤクルト,両,徳山　武陽,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,東京ヤクルト,両,土肥　寛昌,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,東京ヤクルト,左,中澤　雅人,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,東京ヤクルト,右,中島　彰吾,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,東京ヤクルト,右,中村　悠平,106,378,321,24,60,14,0,3,83,37,2,0,14,6,31,4,6,47,9
2016,東京ヤクルト,左,成瀬　善久,22,18,17,2,1,0,0,0,1,1,0,0,0,0,1,0,0,12,0
2016,東京ヤクルト,右,西浦　直亨,72,273,247,21,63,12,0,7,96,28,9,3,2,1,23,0,0,54,3
2016,東京ヤクルト,右,西田　明央,74,245,222,29,54,16,1,7,93,25,0,0,4,0,18,2,1,39,5
2016,東京ヤクルト,右,バレンティン,132,537,457,64,123,20,0,31,236,96,0,1,0,5,72,2,3,116,19
2016,東京ヤクルト,右,畠山　和洋,45,190,163,15,40,10,0,1,53,18,0,1,0,0,26,0,1,24,6
2016,東京ヤクルト,右,原　樹理,13,20,19,1,2,1,0,0,3,2,0,0,1,0,0,0,0,4,0
2016,東京ヤクルト,右,比屋根　渉,76,142,126,17,29,4,2,0,37,5,8,1,8,0,8,0,0,15,0
2016,東京ヤクルト,右,平井　諒,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,東京ヤクルト,右,廣岡　大志,2,7,7,2,3,0,0,1,6,3,0,0,0,0,0,0,0,2,0
2016,東京ヤクルト,左,藤井　亮太,12,20,20,2,4,1,0,0,5,0,0,0,0,0,0,0,0,8,0
2016,東京ヤクルト,右,古野　正人,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2016,東京ヤクルト,左,ペレス,19,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2016,東京ヤクルト,左,松井　淳,2,5,3,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
2016,東京ヤクルト,右,松岡　健一,53,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2016,東京ヤクルト,左,三輪　正義,51,41,33,9,8,0,1,0,10,2,1,0,5,0,3,0,0,10,1
2016,東京ヤクルト,左,村中　恭兵,52,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2016,東京ヤクルト,左,森岡　良介,26,33,31,1,2,1,0,0,3,3,0,0,0,1,1,0,0,8,2
2016,東京ヤクルト,左,八木　亮祐,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,東京ヤクルト,右,谷内　亮太,23,80,70,10,21,5,0,1,29,6,0,0,2,0,7,0,1,14,2
2016,東京ヤクルト,左,山崎　晃大朗,7,19,18,1,3,0,0,0,3,0,1,0,0,0,1,0,0,8,0
2016,東京ヤクルト,右,山田　哲人,133,590,481,102,146,26,3,38,292,102,30,2,0,4,97,0,8,101,16
2016,東京ヤクルト,右,山中　浩史,22,46,41,1,3,0,0,0,3,1,0,0,5,0,0,0,0,16,1
2016,東京ヤクルト,左,雄平,108,436,412,44,122,20,0,7,163,55,7,1,1,2,21,2,0,51,9
2016,東京ヤクルト,左,由規,5,9,8,0,1,0,0,0,1,0,0,0,1,0,0,0,0,3,1
2016,東京ヤクルト,右,ルーキ,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,福岡ソフトバンク,左,明石　健志,47,152,135,17,31,6,2,0,41,16,6,2,6,2,7,0,2,34,3
2016,福岡ソフトバンク,左,斐紹,13,31,26,1,6,1,0,0,7,1,0,0,4,1,0,0,0,8,0
2016,福岡ソフトバンク,左,飯田　優也,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,福岡ソフトバンク,右,五十嵐　亮太,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,福岡ソフトバンク,右,猪本　健太郎,5,10,8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0
2016,福岡ソフトバンク,右,今宮　健太,137,590,497,74,122,22,5,10,184,56,8,4,38,5,47,0,3,86,7
2016,福岡ソフトバンク,右,岩嵜　翔,35,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2016,福岡ソフトバンク,左,上林　誠知,14,19,19,0,4,1,0,0,5,1,0,0,0,0,0,0,0,7,0
2016,福岡ソフトバンク,右,内川　聖一,141,605,556,62,169,19,0,18,242,106,3,2,0,9,38,2,2,53,27
2016,福岡ソフトバンク,右,江川　智晃,42,138,114,17,26,4,1,4,44,15,0,2,1,2,18,0,3,44,2
2016,福岡ソフトバンク,左,大隣　憲司,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,福岡ソフトバンク,右,岡本　健,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,福岡ソフトバンク,右,カニザレス,16,42,39,3,7,1,0,0,8,3,0,0,0,0,2,0,1,11,1
2016,福岡ソフトバンク,右,加治屋　蓮,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,福岡ソフトバンク,両,金子　圭輔,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2016,福岡ソフトバンク,左,釜元　豪,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2016,福岡ソフトバンク,左,嘉弥真　新也,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,福岡ソフトバンク,右,川島　慶三,20,50,40,4,5,0,0,0,5,3,0,3,1,0,8,0,1,10,0
2016,福岡ソフトバンク,左,城所　龍磨,84,162,148,32,39,6,1,6,65,19,11,1,3,0,11,0,0,45,0
2016,福岡ソフトバンク,右,サファテ,64,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2016,福岡ソフトバンク,右,スアレス,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,福岡ソフトバンク,右,攝津　正,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,福岡ソフトバンク,左,千賀　滉大,25,5,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0
2016,福岡ソフトバンク,左,髙田　知季,36,77,63,5,11,2,0,0,13,2,1,1,4,0,10,0,0,15,0
2016,福岡ソフトバンク,左,髙谷　裕亮,37,103,81,12,20,0,0,2,26,16,0,0,10,1,10,0,1,12,4
2016,福岡ソフトバンク,右,拓也,13,7,6,1,1,1,0,0,2,1,0,0,0,0,1,0,0,4,0
2016,福岡ソフトバンク,右,武田　翔太,27,6,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1
2016,福岡ソフトバンク,右,塚田　正義,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2016,福岡ソフトバンク,右,鶴岡　慎也,103,263,231,14,58,12,2,2,80,26,1,0,20,1,9,0,2,26,9
2016,福岡ソフトバンク,右,寺原　隼人,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,福岡ソフトバンク,右,中田　賢一,17,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2016,福岡ソフトバンク,左,中村　晃,143,612,488,69,140,21,1,7,184,50,6,5,9,4,99,4,12,53,8
2016,福岡ソフトバンク,右,バリオス,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,福岡ソフトバンク,右,バンデンハーク,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,福岡ソフトバンク,左,長谷川　勇也,122,442,387,45,105,15,3,10,156,51,2,4,1,0,51,2,3,95,9
2016,福岡ソフトバンク,右,東浜　巨,23,7,3,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0
2016,福岡ソフトバンク,左,福田　秀平,81,239,212,30,49,5,4,3,71,18,11,3,4,2,20,1,1,51,2
2016,福岡ソフトバンク,右,細川　亨,49,115,93,6,21,2,0,1,26,6,1,0,15,0,6,0,1,28,4
2016,福岡ソフトバンク,左,本多　雄一,110,388,332,52,93,9,1,1,107,27,23,7,19,3,33,0,1,51,6
2016,福岡ソフトバンク,左,牧原　大成,41,97,90,15,22,3,0,0,25,6,4,0,5,1,1,0,0,15,0
2016,福岡ソフトバンク,右,松坂　大輔,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,福岡ソフトバンク,右,松田　宣浩,143,609,548,79,142,23,5,27,256,85,6,6,0,5,48,2,8,141,14
2016,福岡ソフトバンク,左,松本　裕樹,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,福岡ソフトバンク,右,森　唯斗,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,福岡ソフトバンク,左,森福　允彦,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,福岡ソフトバンク,左,柳田　悠岐,120,536,428,82,131,31,4,18,224,73,23,2,0,0,100,2,8,97,8
2016,福岡ソフトバンク,右,柳瀬　明宏,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,福岡ソフトバンク,左,山田　大樹,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,福岡ソフトバンク,右,吉村　裕基,78,206,177,16,37,4,1,5,58,28,1,1,4,4,14,1,7,46,5
2016,福岡ソフトバンク,左,和田　毅,24,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2016,読売,左,アンダーソン,3,12,12,0,3,0,0,0,3,1,0,0,0,0,0,0,0,4,0
2016,読売,右,相川　亮二,37,48,41,2,10,2,0,0,12,4,0,0,0,1,6,1,0,10,0
2016,読売,左,阿部　慎之助,91,387,335,43,104,13,0,12,153,52,0,1,1,3,44,1,4,55,8
2016,読売,左,乾　真大,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,読売,左,今村　信貴,16,24,22,0,2,0,0,0,2,0,0,0,2,0,0,0,0,9,0
2016,読売,左,内海　哲也,18,35,28,0,1,0,0,0,1,0,0,0,4,0,3,0,0,18,0
2016,読売,右,江柄子　裕樹,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2016,読売,右,大田　泰示,62,119,114,12,23,6,1,4,43,13,0,0,0,1,4,0,0,45,3
2016,読売,右,大竹　寛,17,31,24,0,1,0,0,0,1,0,0,0,6,0,1,0,0,11,0
2016,読売,右,岡本　和真,3,10,10,0,1,1,0,0,2,0,0,0,0,0,0,0,0,2,2
2016,読売,右,ガルシア,4,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2016,読売,右,片岡　治大,32,93,81,10,18,3,0,2,27,4,4,0,6,0,6,1,0,8,2
2016,読売,右,加藤　健,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,読売,左,亀井　善行,66,240,226,21,57,14,0,3,80,23,0,2,3,0,11,0,0,35,7
2016,読売,左,ギャレット,123,465,422,48,109,22,1,24,205,68,0,1,0,0,39,0,4,106,10
2016,読売,左,北　篤,3,7,5,0,1,0,0,0,1,0,0,0,0,0,1,0,1,3,1
2016,読売,右,クルーズ,81,314,298,26,75,14,0,11,122,37,0,2,0,3,11,0,2,40,7
2016,読売,左,公文　克彦,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,読売,右,小林　誠司,129,458,398,27,81,12,1,4,107,35,2,1,19,1,36,5,4,76,10
2016,読売,右,小山　雄輝,9,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
2016,読売,右,坂本　勇人,137,576,488,96,168,28,3,23,271,75,13,3,1,6,81,2,0,67,6
2016,読売,右,桜井　俊貴,1,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2016,読売,右,實松　一成,19,33,28,3,7,1,0,1,11,1,0,0,1,0,4,1,0,7,0
2016,読売,右,澤村　拓一,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,読売,左,重信　慎之介,25,87,79,10,15,1,3,0,22,2,5,1,1,0,7,0,0,20,0
2016,読売,右,菅野　智之,26,61,54,3,12,1,0,0,13,3,0,0,5,1,1,0,0,18,0
2016,読売,両,鈴木　尚広,44,10,10,15,3,0,0,0,3,1,10,0,0,0,0,0,0,3,0
2016,読売,右,平良　拳太郎,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,読売,右,高木　勇人,25,36,29,1,1,1,0,0,2,0,0,0,5,0,2,0,0,16,0
2016,読売,左,田口　麗斗,26,56,48,2,5,0,0,0,5,1,0,0,7,0,1,0,0,16,1
2016,読売,左,立岡　宗一郎,51,209,188,15,43,6,1,2,57,9,9,3,6,0,10,0,5,31,1
2016,読売,左,田原　誠次,64,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2016,読売,右,長野　久義,143,618,576,58,163,28,4,11,232,42,8,2,1,3,33,0,5,78,7
2016,読売,左,辻　東倫,15,40,34,1,6,2,0,0,8,0,0,1,0,0,4,0,2,12,0
2016,読売,右,土田　瑞起,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,読売,右,寺内　崇幸,55,33,31,2,4,1,0,0,5,1,0,0,2,0,0,0,0,11,0
2016,読売,左,戸根　千明,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,読売,左,堂上　剛裕,43,53,48,4,8,2,0,2,16,6,0,0,0,0,4,0,1,11,2
2016,読売,右,中井　大介,43,61,51,3,10,2,1,0,14,4,0,0,1,1,7,0,1,13,0
2016,読売,左,中川　皓太,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,読売,右,西村　健太朗,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,読売,左,橋本　到,74,259,219,27,51,15,1,2,74,20,7,3,20,0,20,0,0,45,4
2016,読売,右,長谷川　潤,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,読売,左,藤村　大介,5,6,4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2016,読売,左,ポレダ,5,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
2016,読売,右,マイコラス,14,36,32,2,2,1,0,1,6,1,0,0,3,0,1,0,0,17,1
2016,読売,右,マシソン,70,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2016,読売,左,松本　哲也,52,77,69,6,12,1,1,0,15,1,2,0,5,0,2,0,1,22,1
2016,読売,右,宮國　椋丞,34,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,読売,右,村田　修一,143,576,529,58,160,32,0,25,267,81,1,3,2,2,38,0,5,83,21
2016,読売,右,メンドーサ,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,読売,右,矢貫　俊之,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,読売,左,山口　鉄也,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,読売,右,山本　泰寛,27,86,78,8,20,5,1,0,27,2,0,1,6,0,2,0,0,20,2
2016,読売,両,吉川　大幾,50,56,51,7,9,0,0,0,9,1,1,2,2,0,3,0,0,14,0
2016,読売,左,脇谷　亮太,54,115,108,8,17,3,1,1,25,7,0,0,1,0,6,0,0,18,4
2016,北海道日本ハム,左,淺間　大基,52,115,110,9,21,4,1,1,30,9,2,1,1,0,4,0,0,36,0
2016,北海道日本ハム,右,新垣　勇人,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,北海道日本ハム,右,有原　航平,22,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2016,北海道日本ハム,右,飯山　裕志,36,3,3,1,1,1,0,0,2,0,0,0,0,0,0,0,0,2,0
2016,北海道日本ハム,右,井口　和朋,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,北海道日本ハム,左,石井　裕也,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,北海道日本ハム,右,石川　慎吾,12,28,27,0,2,0,0,0,2,1,0,0,1,0,0,0,0,5,1
2016,北海道日本ハム,右,石川　直也,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,北海道日本ハム,右,石川　亮,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,北海道日本ハム,右,市川　友也,71,156,133,9,22,2,0,1,27,12,1,0,10,2,8,1,3,28,2
2016,北海道日本ハム,左,上原　健太,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,北海道日本ハム,右,榎下　陽大,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,北海道日本ハム,左,大嶋　匠,12,17,15,1,3,1,0,0,4,1,0,0,0,1,0,0,1,2,0
2016,北海道日本ハム,左,大谷　翔平,104,382,323,65,104,18,1,22,190,67,7,2,0,4,54,2,1,98,7
2016,北海道日本ハム,右,大野　奨太,109,351,282,26,69,13,0,5,97,35,1,0,31,0,25,0,13,63,6
2016,北海道日本ハム,右,大累　進,14,6,6,2,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0
2016,北海道日本ハム,右,岡　大海,41,154,131,28,49,7,0,2,62,12,9,1,3,1,15,0,4,27,4
2016,北海道日本ハム,右,鍵谷　陽平,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,北海道日本ハム,左,加藤　貴之,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,北海道日本ハム,左,金平　将至,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,北海道日本ハム,左,岸里　亮佑,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,北海道日本ハム,左,近藤　健介,80,291,257,36,68,9,0,2,83,27,5,2,3,2,29,0,0,45,7
2016,北海道日本ハム,右,斎藤　佑樹,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,北海道日本ハム,右,清水　優心,5,8,8,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0
2016,北海道日本ハム,両,杉谷　拳士,62,138,104,11,25,5,1,0,32,9,4,2,23,0,11,1,0,23,1
2016,北海道日本ハム,左,瀬川　隼郎,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,北海道日本ハム,右,高梨　裕稔,37,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2016,北海道日本ハム,左,武田　久,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,北海道日本ハム,左,武田　勝,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,北海道日本ハム,左,田中　賢介,143,626,541,61,147,14,1,2,169,53,22,8,3,4,69,3,9,56,4
2016,北海道日本ハム,右,田中　豊樹,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,北海道日本ハム,左,谷口　雄也,83,211,193,26,49,3,2,1,59,9,7,0,9,0,8,0,1,48,2
2016,北海道日本ハム,右,谷元　圭介,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,北海道日本ハム,左,中島　卓也,143,600,473,66,115,10,1,0,127,28,23,9,62,1,63,0,1,117,5
2016,北海道日本ハム,右,中田　翔,141,624,569,61,142,26,1,25,245,110,2,1,0,5,47,1,3,126,14
2016,北海道日本ハム,右,中村　勝,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,北海道日本ハム,左,西川　遥輝,138,593,493,76,155,18,4,5,196,43,41,5,22,2,73,0,3,113,0
2016,北海道日本ハム,右,バース,37,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2016,北海道日本ハム,左,白村　明弘,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,北海道日本ハム,左,藤岡　好明,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,北海道日本ハム,右,マーティン,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,北海道日本ハム,右,増井　浩俊,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,北海道日本ハム,右,松本　剛,12,22,21,1,5,1,0,0,6,2,1,0,1,0,0,0,0,5,0
2016,北海道日本ハム,左,宮西　尚生,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,北海道日本ハム,右,メンドーサ,23,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0
2016,北海道日本ハム,右,矢野　謙次,34,35,29,1,6,2,0,1,11,8,0,0,0,1,4,0,1,5,0
2016,北海道日本ハム,右,陽　岱鋼,130,555,495,66,145,24,1,14,213,61,5,6,7,1,42,1,10,121,10
2016,北海道日本ハム,右,横尾　俊建,10,17,17,1,2,0,0,0,2,0,0,0,0,0,0,0,0,3,0
2016,北海道日本ハム,左,吉川　光夫,27,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
2016,北海道日本ハム,右,米野　智人,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,北海道日本ハム,右,レアード,143,598,547,71,144,21,0,39,282,97,0,0,0,4,44,1,3,138,16
2016,北海道日本ハム,右,渡邉　諒,1,3,3,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0
2016,阪神,右,青柳　晃洋,13,19,17,0,2,1,0,0,3,0,0,0,2,0,0,0,0,9,0
2016,阪神,左,秋山　拓巳,8,3,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0
2016,阪神,右,新井　良太,46,88,78,10,12,3,0,3,24,8,1,0,1,1,7,0,1,21,1
2016,阪神,左,荒木　郁也,46,73,57,13,14,2,0,0,16,2,2,0,7,0,8,1,1,10,1
2016,阪神,右,安藤　優也,50,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2016,阪神,右,石崎　剛,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,阪神,左,板山　祐太郎,40,115,106,9,25,5,1,0,32,5,1,0,2,0,7,0,0,31,0
2016,阪神,右,伊藤　和雄,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,阪神,左,伊藤　隼太,29,54,53,2,13,0,1,1,18,4,0,1,0,0,1,0,0,11,0
2016,阪神,左,今成　亮太,82,132,119,5,27,3,0,0,30,5,1,2,1,1,10,0,1,27,3
2016,阪神,左,岩崎　優,16,25,22,0,0,0,0,0,0,1,0,0,1,0,1,0,1,9,0
2016,阪神,左,岩貞　祐太,25,50,42,0,3,0,0,0,3,1,0,0,8,0,0,0,0,26,1
2016,阪神,左,岩田　稔,6,7,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0
2016,阪神,両,植田　海,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2016,阪神,右,上本　博紀,45,113,101,18,26,7,0,2,39,8,3,0,0,0,12,0,0,14,0
2016,阪神,右,梅野　隆太郎,37,98,89,3,12,0,0,0,12,4,1,0,3,0,6,1,0,22,4
2016,阪神,右,江越　大賀,72,217,191,33,40,6,1,7,69,20,4,3,2,3,18,0,3,78,2
2016,阪神,左,榎田　大樹,35,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,阪神,右,岡﨑　太一,38,76,65,4,13,3,0,0,16,5,1,0,3,1,7,0,0,16,0
2016,阪神,左,緒方　凌介,21,25,24,2,4,1,0,0,5,0,0,0,1,0,0,0,0,6,1
2016,阪神,右,金田　和之,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,阪神,右,狩野　恵輔,66,95,87,6,21,1,0,3,31,17,0,0,1,1,5,0,1,18,2
2016,阪神,右,ゴメス,139,554,498,58,127,20,0,22,213,79,2,1,0,3,48,3,5,130,13
